time,Pressure,Temperature
0.5,100.209667686,22.3508001932

1,100.209667686,22.3508001932

1.5,100.149943792,22.3508001932

2,100.209667686,22.3755715552

2.5,100.149943792,22.3508001932

3,100.209667686,22.3508001932

3.5,100.209667686,22.3508001932

4,100.149943792,22.3755715552

4.5,100.149943792,22.3755715552

5,100.149943792,22.3755715552

5.5,100.209667686,22.3755715552

6,100.209667686,22.3755715552

6.5,100.209667686,22.3755715552

7,100.209667686,22.3755715552

7.5,100.149943792,22.3755715552

8,100.209667686,22.3988839823

8.5,100.209667686,22.3988839823

9,100.209667686,22.3988839823

9.5,100.149943792,22.3755715552

10,100.149943792,22.3988839823

10.5,100.209667686,22.3988839823

11,100.209667686,22.3988839823

11.5,100.209667686,22.3988839823

12,102.047055717,22.3988839823

12.5,102.451070294,22.3988839823

13,102.679426359,22.3988839823

13.5,102.8515717,22.3988839823

14,102.967506318,22.3988839823

14.5,102.795360977,22.3988839823

15,102.795360977,22.3988839823

15.5,102.8515717,22.3988839823

16,103.023717042,22.3988839823

16.5,103.139651659,22.3988839823

17,103.139651659,22.3988839823

17.5,103.139651659,22.3988839823

18,103.139651659,22.3988839823

18.5,103.139651659,22.4236515417

19,103.199375553,22.4236515417

19.5,103.199375553,22.4236515417

20,103.255586277,22.4236515417

20.5,103.255586277,22.4236515417

21,103.255586277,22.4236515417

21.5,103.255586277,22.4236515417

22,103.255586277,22.4469604159

22.5,103.311797001,22.4469604159

23,103.255586277,22.4469604159

23.5,103.311797001,22.4469604159

24,103.255586277,22.4469604159

24.5,103.255586277,22.4469604159

25,103.255586277,22.4469604159

25.5,103.255586277,22.4717242281

26,103.255586277,22.4717242281

26.5,103.255586277,22.4717242281

27,103.255586277,22.4717242281

27.5,103.255586277,22.4717242281

28,103.255586277,22.4717242281

28.5,103.255586277,22.4717242281

29,103.255586277,22.4717242281

29.5,103.255586277,22.4717242281

30,103.255586277,22.4950296016

30.5,103.311797001,22.4717242281

31,103.255586277,22.519789722

31.5,103.255586277,22.519789722

32,103.255586277,22.519789722

32.5,103.255586277,22.519789722

33,103.255586277,22.519789722

33.5,103.255586277,22.519789722

34,103.199375553,22.519789722

34.5,103.255586277,22.519789722

35,103.255586277,22.5430916468

35.5,103.255586277,22.5430916468

36,103.255586277,22.5430916468

36.5,103.255586277,22.5430916468

37,103.255586277,22.5430916468

37.5,103.255586277,22.5678481307

38,103.311797001,22.5678481307

38.5,103.255586277,22.5911466588

39,103.255586277,22.5678481307

39.5,103.311797001,22.5678481307

40,103.311797001,22.5911466588

40.5,103.371520895,22.5911466588

41,103.311797001,22.5678481307

41.5,103.311797001,22.5911466588

42,103.311797001,22.5911466588

42.5,103.311797001,22.5911466588

43,103.311797001,22.5911466588

43.5,103.255586277,22.5911466588

44,103.255586277,22.5911466588

44.5,103.255586277,22.5911466588

45,103.311797001,22.5911466588

45.5,103.311797001,22.5911466588

46,103.371520895,22.6158995614

46.5,103.483942342,22.6158995614

47,103.483942342,22.6158995614

47.5,103.483942342,22.6158995614

48,103.483942342,22.6158995614

48.5,103.543666236,22.6158995614

49,103.543666236,22.6158995614

49.5,103.59987696,22.6158995614

50,103.59987696,22.6391947448

50.5,103.59987696,22.6158995614

51,103.59987696,22.6391947448

51.5,103.59987696,22.6391947448

52,103.656087683,22.6158995614

52.5,103.772022301,22.6391947448

53,103.715811577,22.6391947448

53.5,103.772022301,22.6391947448

54,103.831746195,22.6391947448

54.5,103.772022301,22.6391947448

55,103.831746195,22.6391947448

55.5,103.772022301,22.6391947448

56,103.772022301,22.6391947448

56.5,103.772022301,22.6391947448

57,103.831746195,22.6391947448

57.5,103.831746195,22.6391947448

58,103.831746195,22.6391947448

58.5,103.831746195,22.6391947448

59,103.831746195,22.6391947448

59.5,103.831746195,22.6391947448

60,103.831746195,22.6391947448

60.5,103.831746195,22.6391947448

61,103.887956919,22.6391947448

61.5,103.887956919,22.6391947448

62,103.887956919,22.6391947448

62.5,103.887956919,22.6391947448

63,103.887956919,22.6391947448

63.5,103.887956919,22.6391947448

64,103.887956919,22.6391947448

64.5,103.887956919,22.6391947448

65,103.887956919,22.6391947448

65.5,103.887956919,22.6391947448

66,103.887956919,22.6158995614

66.5,103.887956919,22.6391947448

67,103.944167642,22.6158995614

67.5,103.887956919,22.6391947448

68,103.887956919,22.6158995614

68.5,103.944167642,22.6158995614

69,103.944167642,22.6158995614

69.5,103.944167642,22.6158995614

