time,Pressure,Temperature
0.5,101.358474352,22.4236515417

1,101.358474352,22.4236515417

1.5,101.358474352,22.4236515417

2,101.358474352,22.4236515417

2.5,101.358474352,22.4469604159

3,101.358474352,22.4469604159

3.5,101.358474352,22.4469604159

4,101.358474352,22.4469604159

4.5,101.358474352,22.4469604159

5,101.358474352,22.4717242281

5.5,101.358474352,22.4717242281

6,101.358474352,22.4717242281

6.5,101.358474352,22.4717242281

7,101.358474352,22.4717242281

7.5,101.358474352,22.4717242281

8,101.358474352,22.4717242281

8.5,101.358474352,22.4717242281

9,101.358474352,22.4717242281

9.5,101.358474352,22.4717242281

10,101.358474352,22.4717242281

10.5,101.358474352,22.4717242281

11,101.358474352,22.4717242281

11.5,101.358474352,22.4950296016

12,101.358474352,22.4950296016

12.5,101.358474352,22.4950296016

13,101.358474352,22.4950296016

13.5,101.358474352,22.4950296016

14,101.358474352,22.4950296016

14.5,101.358474352,22.4950296016

15,102.335135676,22.4950296016

15.5,103.199375553,22.519789722

16,103.59987696,22.519789722

16.5,103.772022301,22.519789722

17,103.944167642,22.4950296016

17.5,104.003891536,22.519789722

18,103.831746195,22.519789722

18.5,103.831746195,22.519789722

19,103.887956919,22.519789722

19.5,103.887956919,22.519789722

20,103.944167642,22.519789722

20.5,103.944167642,22.519789722

21,104.003891536,22.519789722

21.5,104.003891536,22.519789722

22,104.003891536,22.519789722

22.5,104.003891536,22.519789722

23,104.003891536,22.519789722

23.5,104.003891536,22.519789722

24,104.003891536,22.519789722

24.5,104.003891536,22.519789722

25,104.003891536,22.519789722

25.5,104.003891536,22.519789722

26,104.003891536,22.519789722

26.5,104.003891536,22.519789722

27,104.003891536,22.519789722

27.5,104.003891536,22.519789722

28,104.06010226,22.519789722

28.5,104.003891536,22.519789722

29,104.003891536,22.519789722

29.5,104.003891536,22.519789722

30,104.003891536,22.519789722

30.5,104.003891536,22.519789722

31,104.06010226,22.519789722

31.5,104.003891536,22.519789722

32,104.003891536,22.519789722

32.5,104.003891536,22.519789722

33,104.06010226,22.519789722

33.5,104.003891536,22.519789722

34,104.003891536,22.519789722

