time,Pressure,Temperature
0.5,101.358474352,22.2546101175

1,101.358474352,22.2546101175

1.5,101.358474352,22.2546101175

2,101.358474352,22.2793892514

2.5,101.414685076,22.2546101175

3,101.358474352,22.2546101175

3.5,101.358474352,22.2546101175

4,101.358474352,22.2546101175

4.5,101.358474352,22.2546101175

5,101.358474352,22.2546101175

5.5,101.358474352,22.2793892514

6,101.358474352,22.2546101175

6.5,101.358474352,22.2793892514

7,101.358474352,22.2546101175

7.5,101.358474352,22.2546101175

8,101.358474352,22.2546101175

8.5,101.358474352,22.2546101175

9,101.414685076,22.2546101175

9.5,101.358474352,22.2793892514

10,102.335135676,22.2546101175

10.5,103.083440936,22.2546101175

11,102.911295594,22.2546101175

11.5,102.967506318,22.2546101175

12,102.967506318,22.2793892514

12.5,102.967506318,22.2546101175

13,102.911295594,22.2793892514

13.5,102.911295594,22.2793892514

14,102.911295594,22.2793892514

14.5,102.911295594,22.2793892514

15,102.911295594,22.2793892514

15.5,102.911295594,22.2793892514

16,102.911295594,22.2793892514

16.5,102.911295594,22.3027089409

17,102.8515717,22.2793892514

17.5,102.911295594,22.2793892514

18,102.911295594,22.3027089409

18.5,102.8515717,22.3027089409

19,102.8515717,22.3274841611

19.5,102.8515717,22.3027089409

20,102.8515717,22.3027089409

20.5,102.795360977,22.3027089409

21,102.8515717,22.2793892514

21.5,102.8515717,22.3027089409

22,102.8515717,22.2793892514

22.5,102.8515717,22.3027089409

23,102.8515717,22.2793892514

23.5,102.8515717,22.2793892514

24,102.795360977,22.2793892514

24.5,102.795360977,22.3027089409

25,102.8515717,22.2793892514

25.5,102.795360977,22.2793892514

26,102.8515717,22.3027089409

26.5,102.8515717,22.3027089409

27,102.795360977,22.2793892514

27.5,102.8515717,22.3027089409

28,102.795360977,22.2793892514

28.5,102.8515717,22.3027089409

29,102.8515717,22.3027089409

29.5,102.795360977,22.3027089409

30,102.8515717,22.2793892514

30.5,102.795360977,22.3027089409

31,102.795360977,22.3027089409

31.5,102.795360977,22.3027089409

32,102.795360977,22.3027089409

32.5,102.795360977,22.3027089409

33,102.795360977,22.3027089409

33.5,102.795360977,22.3027089409

34,102.795360977,22.2793892514

34.5,102.795360977,22.2793892514

35,102.795360977,22.2793892514

35.5,102.795360977,22.3027089409

36,102.795360977,22.3027089409

36.5,102.795360977,22.3027089409

37,102.795360977,22.2793892514

37.5,102.795360977,22.3027089409

38,102.8515717,22.2793892514

38.5,102.795360977,22.3027089409

39,102.795360977,22.3027089409

39.5,102.795360977,22.3027089409

40,102.795360977,22.2793892514

40.5,102.795360977,22.3027089409

41,102.795360977,22.3027089409

41.5,102.795360977,22.3027089409

42,102.795360977,22.3027089409

42.5,102.795360977,22.2793892514

43,102.795360977,22.2793892514

43.5,102.795360977,22.3027089409

44,102.795360977,22.3027089409

44.5,102.795360977,22.3027089409

45,102.795360977,22.3027089409

45.5,102.795360977,22.3027089409

46,102.795360977,22.3027089409

46.5,102.795360977,22.3027089409

47,102.8515717,22.2793892514

47.5,102.795360977,22.3027089409

48,102.795360977,22.3027089409

48.5,102.795360977,22.2793892514

49,102.795360977,22.3027089409

49.5,102.795360977,22.2793892514

50,102.795360977,22.3027089409

50.5,102.795360977,22.3027089409

51,102.795360977,22.2793892514

51.5,102.739150253,22.3027089409

52,102.795360977,22.2793892514

52.5,102.795360977,22.3027089409

