time,Pressure,Temperature


0.5,101.133631457,23.2530635609



1,101.133631457,23.2530635609



1.5,101.133631457,23.2530635609



2,101.133631457,23.2530635609



2.5,101.133631457,23.2530635609



3,101.133631457,23.2777726733



3.5,101.133631457,23.2530635609



4,101.133631457,23.2777726733



4.5,101.133631457,23.2530635609



5,101.133631457,23.2777726733



5.5,101.133631457,23.2530635609



6,101.133631457,23.2530635609



6.5,101.133631457,23.2530635609



7,101.133631457,23.2530635609



7.5,101.133631457,23.2777726733



8,101.133631457,23.2530635609



8.5,101.133631457,23.2530635609



9,101.133631457,23.2777726733



9.5,101.133631457,23.2530635609



10,101.133631457,23.2777726733



10.5,101.133631457,23.2530635609



11,101.534132863,23.2777726733



11.5,102.679426359,23.2530635609



12,102.795360977,23.2530635609



12.5,102.679426359,23.2530635609



13,102.679426359,23.2530635609



13.5,102.679426359,23.2530635609



14,102.679426359,23.2530635609



14.5,102.739150253,23.2530635609



15,102.795360977,23.2530635609



15.5,102.8515717,23.2298066016



16,102.795360977,23.2530635609



16.5,102.8515717,23.2530635609



17,102.795360977,23.2530635609



17.5,102.8515717,23.2530635609



18,102.8515717,23.2530635609



18.5,102.8515717,23.2530635609



19,102.8515717,23.2530635609



19.5,102.8515717,23.2530635609



20,102.911295594,23.2298066016



20.5,102.911295594,23.2530635609



21,102.911295594,23.2530635609



21.5,102.911295594,23.2530635609



22,102.911295594,23.2530635609



22.5,102.911295594,23.2530635609



23,102.911295594,23.2530635609



23.5,102.911295594,23.2530635609



24,102.967506318,23.2530635609



24.5,102.967506318,23.2530635609



25,102.967506318,23.2530635609



25.5,102.967506318,23.2530635609



26,102.967506318,23.2530635609



26.5,103.023717042,23.2530635609



27,103.023717042,23.2530635609



27.5,103.079927765,23.2530635609



28,103.079927765,23.2530635609



28.5,103.079927765,23.2530635609



29,103.079927765,23.2530635609



29.5,103.139651659,23.2530635609



30,103.139651659,23.2530635609



30.5,103.139651659,23.2530635609



31,103.252073107,23.2530635609



31.5,103.252073107,23.2530635609



32,103.311797001,23.2530635609



32.5,103.311797001,23.2530635609



33,103.311797001,23.2530635609



33.5,103.368007724,23.2530635609



34,103.424218448,23.2530635609



34.5,103.483942342,23.2530635609



35,103.540153066,23.2530635609



35.5,103.540153066,23.2530635609



36,103.596363789,23.2530635609



36.5,103.656087683,23.2530635609



37,103.712298407,23.2777726733



37.5,103.768509131,23.2530635609



38,103.828233025,23.2530635609



38.5,103.884443748,23.2777726733



39,104.000378366,23.2530635609



39.5,104.000378366,23.2530635609



40,104.112799813,23.2777726733



40.5,104.228734431,23.2530635609



41,104.284945155,23.2777726733



41.5,104.344669049,23.2530635609



42,104.457090496,23.2530635609



