time,Pressure,Temperature
0,99.8021399393,20.27909515
0.5,99.7459292156,20.2555740647
1,99.7459292156,20.2555740647
1.5,99.7459292156,20.2555740647
2,99.7459292156,20.2555740647
2.5,99.7459292156,20.2555740647
3,99.7459292156,20.2555740647
3.5,99.6862053216,20.2555740647
4,99.7459292156,20.2555740647
4.5,99.7459292156,20.2320500855
5,99.7459292156,20.2555740647
5.5,99.7459292156,20.2320500855
6,99.7459292156,20.2555740647
6.5,99.7459292156,20.2555740647
7,99.7459292156,20.2555740647
7.5,99.7459292156,20.2555740647
8,99.6862053216,20.2555740647
8.5,99.8021399393,20.2320500855
9,99.7459292156,20.2555740647
9.5,99.7459292156,20.2555740647
10,99.7459292156,20.2320500855
10.5,99.7459292156,20.2555740647
11,101.291724117,20.2555740647
11.5,101.864370865,20.2320500855
12,101.692225524,20.2320500855
12.5,101.692225524,20.2555740647
13,101.692225524,20.2320500855
13.5,101.692225524,20.2555740647
14,101.579804076,20.2555740647
14.5,101.520080183,20.2555740647
15,101.463869459,20.2555740647
15.5,101.463869459,20.2555740647
16,101.463869459,20.2555740647
16.5,101.463869459,20.2555740647
17,101.407658735,20.2555740647
17.5,101.407658735,20.2555740647
18,101.407658735,20.2555740647
18.5,101.463869459,20.2555740647
19,101.463869459,20.2555740647
19.5,101.407658735,20.27909515
20,101.463869459,20.2555740647
20.5,101.463869459,20.27909515
21,101.463869459,20.2555740647
21.5,101.463869459,20.2555740647
22,101.463869459,20.2555740647
22.5,101.463869459,20.27909515
23,101.520080183,20.27909515
23.5,101.520080183,20.27909515
24,101.520080183,20.27909515
24.5,101.579804076,20.27909515
25,101.6360148,20.27909515
25.5,101.6360148,20.27909515
26,101.6360148,20.27909515
26.5,101.692225524,20.3040831473
27,101.692225524,20.3040831473
27.5,101.748436248,20.3040831473
28,101.748436248,20.3040831473
28.5,101.808160142,20.3275983059
29,101.864370865,20.3040831473
29.5,101.864370865,20.3275983059
30,101.920581589,20.3040831473
30.5,101.980305483,20.3275983059
31,102.036516207,20.3275983059
31.5,102.09272693,20.3275983059
32,102.152450824,20.3275983059
32.5,102.264872272,20.3275983059
33,102.324596166,20.3275983059
33.5,102.380806889,20.3275983059
34,102.437017613,20.3275983059
34.5,102.609162954,20.3275983059
35,102.609162954,20.3525800358
