time,Pressure,Temperature
0.5,99.4437965757,23.4216388542

1,99.4437965757,23.4216388542

1.5,99.4437965757,23.4216388542

2,99.5000072994,23.4463384568

2.5,99.4437965757,23.3983909346

3,99.4437965757,23.4216388542

3.5,99.5000072994,23.4216388542

4,99.5000072994,23.4216388542

4.5,99.5000072994,23.3983909346

5,99.5000072994,23.3983909346

5.5,99.5000072994,23.3504382674

6,99.5000072994,23.3983909346

6.5,99.5000072994,23.3751418056

7,99.5000072994,23.327186606

7.5,99.5000072994,23.3504382674

8,99.5000072994,23.3504382674

8.5,99.9602325997,23.3504382674

9,101.109039265,23.3983909346

9.5,102.310543485,23.327186606

10,102.826979509,23.327186606

10.5,102.826979509,23.3504382674

11,102.942914126,23.4216388542

11.5,102.99912485,23.327186606

12,103.115059468,23.4216388542

12.5,103.171270191,23.327186606

13,103.287204809,23.327186606

13.5,103.343415533,23.3024803502

14,103.343415533,23.2792261056

14.5,103.403139427,23.327186606

15,103.403139427,23.2792261056

15.5,103.403139427,23.3024803502

16,103.287204809,23.3024803502

16.5,103.403139427,23.2545170781

17,103.687706215,23.2792261056

17.5,103.747430109,23.2792261056

18,103.803640833,23.2792261056

18.5,103.859851557,23.2792261056

19,103.919575451,23.3504382674

19.5,104.091720792,23.327186606

20,104.204142239,23.2312601994

20.5,104.320076857,23.3024803502

21,104.492222198,23.2545170781

21.5,104.66436754,23.2792261056

22,104.780302157,23.327186606

22.5,104.948934329,23.327186606

23,105.12107967,23.2792261056

23.5,105.293225011,23.3024803502

24,105.465370353,23.2545170781

24.5,105.637515694,23.327186606

25,105.697239588,23.2792261056

25.5,105.809661035,23.3504382674

26,105.869384929,23.2792261056

26.5,105.869384929,23.327186606

27,105.869384929,23.3024803502

27.5,105.925595653,23.3024803502

28,105.869384929,23.3024803502

28.5,106.041530271,23.327186606

29,106.153951718,23.327186606

29.5,106.213675612,23.327186606

30,106.326097059,23.327186606

30.5,106.326097059,23.327186606

31,106.385820953,23.327186606

31.5,106.385820953,23.327186606

32,106.385820953,23.327186606

32.5,106.442031677,23.327186606

33,106.498242401,23.327186606

33.5,106.498242401,23.327186606

34,106.557966295,23.3504382674

34.5,106.614177018,23.327186606

35,106.614177018,23.3983909346

35.5,106.670387742,23.3983909346

36,106.78632236,23.3983909346

36.5,106.78632236,23.3983909346

37,106.78632236,23.3504382674

37.5,106.842533083,23.4216388542

38,106.958467701,23.4216388542

38.5,107.014678425,23.4216388542

39,107.074402319,23.3983909346

39.5,107.130613042,23.4216388542

40,107.186823766,23.3751418056

40.5,107.24654766,23.3983909346

41,107.302758384,23.3504382674

41.5,107.418693001,23.3504382674

42,107.474903725,23.3504382674

42.5,107.531114449,23.4216388542

43,107.647049066,23.3983909346

43.5,107.70325979,23.327186606

44,107.762983684,23.2792261056

44.5,107.875405131,23.3983909346

45,107.935129025,23.327186606

45.5,107.991339749,23.3983909346

46,108.16348509,23.4463384568

46.5,108.219695814,23.3751418056

47,108.335630432,23.4216388542

47.5,108.507775773,23.4463384568

48,108.620197221,23.4216388542

48.5,108.736131838,23.4463384568

49,108.792342562,23.4216388542

49.5,108.90827718,23.3504382674

50,108.964487903,23.3983909346

50.5,109.136633245,23.3504382674

51,109.252567862,23.4216388542

51.5,109.308778586,23.4216388542

52,109.424713204,23.4695839195

52.5,109.540647821,23.4216388542

53,109.653069269,23.4463384568

53.5,109.769003886,23.3983909346

54,109.884938504,23.3504382674

54.5,109.997359951,23.3751418056

55,110.113294569,23.3504382674

55.5,110.229229187,23.4463384568

56,110.341650634,23.3983909346

56.5,110.457585252,23.327186606

57,110.573519869,23.3983909346

57.5,110.685941317,23.4216388542

58,110.801875934,23.4216388542

58.5,110.917810552,23.4942809387

59,111.089955893,23.4463384568

59.5,111.202377341,23.4695839195

60,111.374522682,23.4463384568

60.5,111.434246576,23.4463384568

61,111.606391917,23.4463384568

61.5,111.718813365,23.4463384568

62,111.890958706,23.4463384568

62.5,112.006893324,23.4463384568

63,112.122827941,23.4695839195

63.5,112.235249389,23.4463384568

64,112.351184007,23.4463384568

64.5,112.523329348,23.4463384568

65,112.579540072,23.4463384568

65.5,112.751685413,23.4463384568

66,112.807896137,23.4695839195

66.5,112.980041478,23.4463384568

67,113.152186819,23.4463384568

67.5,113.268121437,23.4463384568

68,113.384056055,23.4463384568

68.5,113.556201396,23.4463384568

69,113.728346737,23.4463384568

69.5,113.840768185,23.4463384568

70,113.956702802,23.4463384568

70.5,114.128848144,23.4463384568

71,114.244782761,23.4463384568

71.5,114.357204209,23.4463384568

72,114.52934955,23.4463384568

72.5,114.645284168,23.4463384568

73,114.817429509,23.4463384568

73.5,114.933364127,23.4463384568

74,115.045785574,23.4463384568

74.5,115.161720192,23.4216388542

75,115.333865533,23.4216388542

75.5,115.449800151,23.4216388542

76,115.562221598,23.4463384568

76.5,115.794090834,23.4463384568

77,115.962723005,23.3983909346

77.5,116.022446899,23.4216388542

78,116.250802964,23.3504382674

78.5,116.422948305,23.4216388542

79,116.538882923,23.3983909346

79.5,116.65130437,23.327186606

80,116.823449711,23.327186606

80.5,116.939384329,23.3504382674

81,117.11152967,23.3504382674

81.5,117.283675012,23.327186606

82,117.399609629,23.327186606

82.5,117.512031077,23.327186606

83,117.684176418,23.327186606

83.5,117.800111036,23.3024803502

84,117.972256377,23.327186606

84.5,118.088190995,23.2792261056

85,118.260336336,23.327186606

85.5,118.372757784,23.327186606

86,118.488692401,23.327186606

86.5,118.604627019,23.3024803502

87,118.77677236,23.2792261056

87.5,118.889193808,23.3024803502

88,119.005128425,23.2792261056

88.5,119.177273767,23.327186606

89,119.293208384,23.2792261056

89.5,119.405629832,23.3024803502

90,119.521564449,23.3024803502

90.5,119.633985897,23.3024803502

91,119.806131238,23.3024803502

91.5,119.922065856,23.327186606

92,120.094211197,23.327186606

92.5,120.150421921,23.327186606

93,120.322567262,23.327186606

93.5,120.43850188,23.327186606

94,120.554436497,23.327186606

94.5,120.610647221,23.327186606

95,120.782792562,23.327186606

95.5,120.839003286,23.3504382674

96,121.011148627,23.327186606

96.5,121.127083245,23.4216388542

97,121.299228586,23.3751418056

97.5,121.415163204,23.4216388542

98,121.587308545,23.3983909346

98.5,121.699729993,23.4216388542

99,121.81566461,23.4216388542

99.5,121.987809952,23.4216388542

100,122.159955293,23.4463384568

100.5,122.275889911,23.4463384568

101,122.388311358,23.4216388542

101.5,122.5604567,23.4463384568

102,122.676391317,23.4216388542

102.5,122.848536659,23.4463384568

103,122.904747382,23.4463384568

103.5,123.076892724,23.4463384568

104,123.305248789,23.4463384568

104.5,123.421183406,23.4463384568

105,123.537118024,23.4463384568

105.5,123.649539471,23.4463384568

106,123.765474089,23.4463384568

106.5,123.881408707,23.4463384568

107,123.993830154,23.4463384568

107.5,124.165975495,23.4463384568

108,124.281910113,23.4463384568

108.5,124.397844731,23.4463384568

109,124.510266178,23.4463384568

109.5,124.682411519,23.4463384568

110,124.742135413,23.4463384568

110.5,124.914280755,23.4463384568

111,125.026702202,23.4216388542

111.5,125.198847544,23.4216388542

112,125.314782161,23.4216388542

112.5,125.430716779,23.3983909346

113,125.60286212,23.4216388542

113.5,125.715283568,23.4216388542

114,125.887428909,23.3983909346

114.5,126.05957425,23.3983909346

115,126.119298144,23.3504382674

115.5,126.291443486,23.4216388542

116,126.347654209,23.3504382674

116.5,126.519799551,23.327186606

117,126.635734168,23.3983909346

117.5,126.748155616,23.3751418056

118,126.864090233,23.3751418056

118.5,126.976511681,23.3504382674

119,127.148657022,23.327186606

119.5,127.26459164,23.327186606

120,127.380526257,23.327186606

120.5,127.492947705,23.3024803502

121,127.665093046,23.327186606

121.5,127.72481694,23.3024803502

122,127.896962281,23.3024803502

122.5,128.069107623,23.327186606

123,128.125318346,23.3024803502

123.5,128.241252964,23.3024803502

124,128.353674411,23.3024803502

124.5,128.469609029,23.3024803502

125,128.64175437,23.2792261056

125.5,128.697965094,23.2792261056

126,128.813899712,23.2792261056

126.5,128.986045053,23.2792261056

127,129.042255777,23.2792261056

127.5,129.158190395,23.2792261056

128,129.330335736,23.327186606

128.5,129.38654646,23.3024803502

129,129.558691801,23.2792261056

129.5,129.618415695,23.2792261056

130,129.790561036,23.2792261056

130.5,129.902982484,23.3024803502

131,130.018917101,23.327186606

131.5,130.075127825,23.3024803502

132,130.247273166,23.3024803502

132.5,130.479142402,23.327186606

133,130.647774573,23.3024803502

133.5,130.76370919,23.3024803502

134,130.879643808,23.327186606

134.5,130.992065255,23.327186606

135,131.164210597,23.3024803502

135.5,131.280145214,23.3024803502

136,131.396079832,23.3024803502

136.5,131.508501279,23.327186606

137,131.624435897,23.2792261056

137.5,131.740370515,23.3024803502

138,131.852791962,23.327186606

138.5,131.912515856,23.3024803502

139,132.084661197,23.327186606

139.5,132.197082645,23.327186606

140,132.256806539,23.3504382674

140.5,132.42895188,23.3983909346

141,132.485162604,23.3751418056

141.5,132.657307945,23.3504382674

142,132.773242563,23.327186606

142.5,132.88566401,23.327186606

143,133.001598628,23.3983909346

143.5,133.117533246,23.3504382674

144,133.229954693,23.327186606

144.5,133.345889311,23.3504382674

145,133.402100034,23.3504382674

145.5,133.518034652,23.3504382674

146,133.63396927,23.327186606

146.5,133.746390717,23.327186606

147,133.862325335,23.327186606

147.5,133.978259952,23.3504382674

148,134.0906814,23.4216388542

148.5,134.206616017,23.327186606

149,134.319037465,23.327186606

149.5,134.434972082,23.327186606

150,134.5509067,23.3504382674

150.5,134.607117424,23.3504382674

151,134.779262765,23.3751418056

151.5,134.835473489,23.3751418056

152,134.951408106,23.4216388542

152.5,135.067342724,23.3983909346

153,135.179764171,23.3983909346

153.5,135.239488065,23.3983909346

154,135.411633407,23.3983909346

154.5,135.46784413,23.3983909346

155,135.639989472,23.3983909346

155.5,135.696200196,23.4216388542

156,135.868345537,23.3983909346

156.5,135.984280155,23.4216388542

157,136.040490878,23.3751418056

157.5,136.156425496,23.3983909346

158,136.21263622,23.3983909346

158.5,136.328570837,23.3983909346

159,136.444505455,23.4216388542

159.5,136.500716179,23.3983909346

160,136.67286152,23.3983909346

160.5,136.788796138,23.4216388542

161,136.845006861,23.3983909346

161.5,136.960941479,23.3983909346

162,137.073362926,23.3983909346

162.5,137.189297544,23.3983909346

163,137.305232162,23.3983909346

163.5,137.361442885,23.3983909346

164,137.533588227,23.4216388542

164.5,137.58979895,23.4216388542

165,137.821668186,23.3983909346

165.5,137.934089633,23.3751418056

166,138.050024251,23.3983909346

166.5,138.162445698,23.3983909346

167,138.222169592,23.3983909346

167.5,138.334591039,23.3983909346

168,138.450525657,23.3504382674

168.5,138.566460275,23.3751418056

169,138.678881722,23.3504382674

169.5,138.738605616,23.3504382674

170,138.910750957,23.3504382674

170.5,138.966961681,23.3751418056

171,139.082896299,23.3751418056

171.5,139.195317746,23.3751418056

172,139.25504164,23.3504382674

172.5,139.367463088,23.3751418056

173,139.483397705,23.3504382674

173.5,139.539608429,23.3504382674

174,139.655543047,23.3751418056

174.5,139.71175377,23.3504382674

175,139.827688388,23.3983909346

175.5,139.943623006,23.3751418056

176,140.056044453,23.3751418056

176.5,140.115768347,23.3504382674

177,140.171979071,23.3504382674

177.5,140.344124412,23.3751418056

178,140.46005903,23.3751418056

178.5,140.572480477,23.3504382674

179,140.632204371,23.3983909346

179.5,140.744625818,23.3751418056

180,140.804349712,23.3983909346
