time,Temperature,Pressure
0.5,24.2564079685,99.4437965757

1,24.2317448408,99.4437965757

1.5,24.3042809749,99.4437965757

2,24.2796195272,99.4437965757

2.5,24.2796195272,99.4437965757

3,24.3042809749,99.4437965757

3.5,24.517496222,98.811425934

4,24.2796195272,99.3875858519

4.5,24.3042809749,99.4437965757

5,24.3274909774,99.4437965757

5.5,24.3042809749,99.4437965757

6,24.3042809749,99.6721526407

6.5,24.3274909774,101.109039265

7,24.2796195272,101.794107461

7.5,24.3042809749,101.794107461

8,24.2796195272,101.910042078

8.5,24.3042809749,101.966252802

9,24.3042809749,101.966252802

9.5,24.3042809749,102.025976696

10,24.2796195272,102.025976696

10.5,24.3042809749,102.08218742

11,24.3042809749,102.08218742

11.5,24.3042809749,102.08218742

12,24.3274909774,102.198122037

12.5,24.3042809749,102.025976696

13,24.2796195272,102.08218742

13.5,24.3042809749,102.138398143

14,24.3042809749,102.08218742

14.5,24.3042809749,102.198122037

15,24.3042809749,102.370267379

15.5,24.3042809749,102.426478102

16,24.3042809749,102.370267379

16.5,24.3042809749,102.370267379

17,24.3274909774,102.426478102

17.5,24.3274909774,102.482688826

18,24.3042809749,102.598623444

18.5,24.2796195272,102.714558061

19,24.2796195272,102.714558061

19.5,24.2796195272,102.770768785

20,24.2796195272,102.826979509

20.5,24.2317448408,102.826979509

21,24.2085316761,102.886703403

21.5,24.2317448408,102.942914126

22,24.2317448408,102.99912485

22.5,24.1853177147,102.99912485

23,24.1606519946,103.058848744

23.5,24.1853177147,103.058848744

24,24.2085316761,103.115059468

24.5,24.2796195272,103.171270191

25,24.2085316761,103.171270191

25.5,24.1606519946,103.287204809

26,24.2796195272,103.343415533

26.5,24.1606519946,103.343415533

27,24.2796195272,103.343415533

27.5,24.3042809749,103.515560874

28,24.1853177147,103.631495492

28.5,24.1853177147,103.747430109

29,24.3042809749,103.803640833

29.5,24.3042809749,104.147931516

30,24.3042809749,104.720578264

30.5,24.3521507981,104.836512881

31,24.2317448408,104.948934329

31.5,24.2317448408,105.12107967

32,24.1853177147,105.180803564

32.5,24.2564079685,105.293225011

33,24.2796195272,105.409159629

33.5,24.2796195272,105.465370353

34,24.2564079685,105.58130497

34.5,24.1853177147,105.753450312

35,24.1853177147,105.869384929

35.5,24.3042809749,105.981806377

36,24.2796195272,106.097740994

36.5,24.1853177147,106.213675612

37,24.2085316761,106.385820953

37.5,24.3042809749,106.498242401

38,24.3042809749,106.614177018

38.5,24.3042809749,106.730111636

39,24.3274909774,106.842533083

39.5,24.2085316761,107.074402319

40,24.3042809749,107.186823766

40.5,24.2796195272,107.418693001

41,24.3274909774,107.531114449

41.5,24.2085316761,107.70325979

42,24.2085316761,107.875405131

42.5,24.2317448408,107.991339749

43,24.2085316761,108.219695814

43.5,24.3042809749,108.391841156

44,24.2564079685,108.620197221

