time,Pressure,Temperature
0,98.6990044866,25.0423450073
0.5,98.7552152103,24.9698666321
1,98.811425934,24.9698666321
1.5,98.7552152103,24.9945097159
2,98.7552152103,24.9945097159
2.5,98.7552152103,24.9945097159
3,98.7552152103,24.9698666321
3.5,98.7552152103,24.9945097159
4,98.7552152103,24.9945097159
4.5,98.7552152103,24.9945097159
5,98.811425934,24.9945097159
5.5,98.7552152103,24.9698666321
6,98.7552152103,24.9945097159
6.5,100.248312559,24.9698666321
7,101.165249989,24.9945097159
7.5,100.87717003,24.9945097159
8,100.87717003,24.9945097159
8.5,100.87717003,24.9698666321
9,100.87717003,24.9945097159
9.5,100.993104648,24.9945097159
10,101.109039265,24.9945097159
10.5,101.165249989,24.9945097159
11,101.277671437,24.9698666321
11.5,101.33739533,24.9945097159
12,101.33739533,24.9945097159
12.5,101.33739533,24.9945097159
13,101.33739533,24.9945097159
13.5,101.393606054,24.9698666321
14,101.33739533,24.9945097159
14.5,101.393606054,24.9945097159
15,101.33739533,24.9945097159
15.5,101.393606054,24.9945097159
16,101.393606054,24.9698666321
16.5,101.449816778,24.9945097159
17,101.449816778,24.9945097159
17.5,101.449816778,24.9698666321
18,101.509540672,24.9698666321
18.5,101.509540672,24.9945097159
19,101.509540672,24.9945097159
19.5,101.509540672,24.9945097159
20,101.509540672,24.9698666321
20.5,101.509540672,24.9945097159
21,101.509540672,24.9698666321
21.5,101.565751396,24.9945097159
22,101.621962119,24.9945097159
22.5,101.794107461,24.9945097159
23,101.910042078,24.9698666321
23.5,101.966252802,24.9945097159
24,102.025976696,24.9945097159
24.5,102.08218742,24.9945097159
25,102.198122037,24.9945097159
25.5,102.198122037,24.9698666321
26,102.198122037,24.9945097159
26.5,102.198122037,24.9698666321
27,102.198122037,24.9698666321
27.5,102.254332761,24.9698666321
28,102.254332761,24.9945097159
28.5,102.254332761,24.9698666321
29,102.254332761,24.9945097159
29.5,102.370267379,24.9945097159
30,102.370267379,24.9698666321
30.5,102.426478102,24.9698666321
31,102.426478102,24.9945097159
31.5,102.482688826,24.9945097159
32,102.482688826,24.9945097159
32.5,102.54241272,24.9698666321
33,102.598623444,24.9698666321
33.5,102.654834167,24.9698666321
34,102.714558061,24.9698666321
34.5,102.714558061,24.9698666321
35,102.770768785,24.9945097159
35.5,102.826979509,24.9698666321
36,102.886703403,24.9698666321
36.5,102.886703403,24.9945097159
37,102.942914126,24.9945097159
37.5,102.99912485,24.9698666321
38,102.99912485,24.9945097159
38.5,103.115059468,24.9945097159
39,103.115059468,24.9945097159
39.5,103.171270191,24.9698666321
40,103.287204809,24.9698666321
40.5,103.343415533,24.9698666321
41,103.343415533,24.9698666321
41.5,103.403139427,24.9945097159
42,103.515560874,24.9945097159
42.5,103.575284768,24.9945097159
43,103.631495492,24.9945097159
43.5,103.747430109,24.9698666321
44,103.803640833,24.9945097159
44.5,103.859851557,24.9945097159
45,103.919575451,24.9945097159
45.5,104.031996898,24.9945097159
46,104.091720792,24.9945097159
46.5,104.204142239,24.9945097159
47,104.263866133,24.9698666321
47.5,104.376287581,24.9698666321
48,104.436011475,24.9698666321
48.5,104.548432922,24.9698666321
49,104.608156816,24.9945097159
49.5,104.720578264,24.9945097159
50,104.780302157,24.9945097159
50.5,104.892723605,24.9945097159
51,105.008658223,24.9698666321
51.5,105.12107967,24.9945097159
52,105.180803564,24.9945097159
52.5,105.293225011,24.9945097159
53,105.465370353,24.9945097159
53.5,105.525094247,24.9945097159
54,105.637515694,24.9945097159
54.5,105.753450312,24.9945097159
