time,Pressure,Temperature
0.5,100.209667686,22.4469604159

1,100.209667686,22.4236515417

1.5,100.209667686,22.4236515417

2,100.209667686,22.4236515417

2.5,100.209667686,22.4236515417

3,100.209667686,22.4236515417

3.5,100.209667686,22.4236515417

4,100.209667686,22.4236515417

4.5,100.209667686,22.4236515417

5,100.209667686,22.4236515417

5.5,100.209667686,22.4236515417

6,100.209667686,22.4236515417

6.5,100.209667686,22.4236515417

7,100.209667686,22.4236515417

7.5,100.209667686,22.4236515417

8,100.898249052,22.4236515417

8.5,101.414685076,22.4236515417

9,101.47440897,22.4236515417

9.5,101.530619693,22.4236515417

10,101.586830417,22.4236515417

10.5,101.586830417,22.4236515417

11,101.530619693,22.4236515417

11.5,101.414685076,22.4236515417

12,101.530619693,22.4236515417

12.5,101.586830417,22.4236515417

13,101.586830417,22.4236515417

13.5,101.586830417,22.4236515417

14,101.702765035,22.4236515417

14.5,101.586830417,22.4236515417

15,101.586830417,22.4236515417

15.5,101.586830417,22.4236515417

16,101.586830417,22.4236515417

16.5,101.586830417,22.4236515417

17,101.586830417,22.4236515417

17.5,101.530619693,22.4236515417

18,101.530619693,22.4236515417

18.5,101.530619693,22.4236515417

19,101.530619693,22.4236515417

19.5,101.530619693,22.4236515417

20,101.530619693,22.4236515417

20.5,101.530619693,22.4236515417

21,101.530619693,22.4236515417

21.5,101.530619693,22.4236515417

22,101.530619693,22.4236515417

22.5,101.530619693,22.4236515417

23,101.530619693,22.4236515417

23.5,101.530619693,22.4236515417

24,101.530619693,22.4236515417

24.5,101.530619693,22.4236515417

25,101.530619693,22.4236515417

25.5,101.530619693,22.4236515417

26,101.530619693,22.4236515417

26.5,101.530619693,22.4236515417

27,101.586830417,22.4236515417

27.5,101.762488929,22.4236515417

28,101.646554311,22.4236515417

28.5,100.610169093,22.4236515417

29,100.381813027,22.4236515417

29.5,100.209667686,22.4236515417

30,100.209667686,22.4236515417

30.5,101.874910376,22.3988839823

31,103.371520895,22.4236515417

31.5,103.831746195,22.4236515417

32,104.003891536,22.4236515417

32.5,103.887956919,22.4236515417

33,103.944167642,22.3988839823

33.5,104.003891536,22.4236515417

34,104.116312984,22.4236515417

34.5,104.176036878,22.4236515417

35,104.288458325,22.4236515417

35.5,104.348182219,22.4236515417

36,104.52032756,22.4236515417

36.5,104.808407519,22.4236515417

37,104.920828967,22.3988839823

37.5,104.980552861,22.4236515417

38,105.092974308,22.4236515417

38.5,105.208908926,22.3988839823

39,105.26863282,22.3988839823

39.5,105.381054267,22.4236515417

40,105.496988885,22.4236515417

40.5,105.612923502,22.4236515417

41,105.72534495,22.3988839823

41.5,105.841279567,22.3988839823

42,105.901003461,22.3988839823

42.5,105.957214185,22.4236515417

43,106.129359526,22.4236515417

43.5,106.245294144,22.3988839823

44,106.357715591,22.3988839823

44.5,106.473650209,22.4236515417

45,106.64579555,22.3988839823

45.5,106.761730168,22.3988839823

46,106.877664786,22.4236515417

46.5,106.990086233,22.3988839823

47,107.162231574,22.3988839823

47.5,107.278166192,22.4236515417

48,107.450311533,22.3988839823

48.5,107.566246151,22.3988839823

49,107.738391492,22.3988839823

49.5,107.85432611,22.3988839823

50,108.026471451,22.3988839823

50.5,108.198616793,22.4236515417

51,108.31455141,22.3988839823

51.5,108.486696752,22.3988839823

52,108.715052817,22.3988839823

52.5,108.887198158,22.3988839823

53,109.119067393,22.3988839823

53.5,109.235002011,22.4236515417

54,109.407147352,22.4236515417

54.5,109.579292694,22.3988839823

55,109.691714141,22.3988839823

55.5,109.863859483,22.3988839823

56,110.039517994,22.3988839823

56.5,110.151939442,22.3988839823

57,110.324084783,22.4236515417

57.5,110.555954018,22.4236515417

58,110.72809936,22.3988839823

58.5,110.956455425,22.3988839823

59,111.244535384,22.4236515417

59.5,111.416680725,22.3988839823

60,111.64854996,22.3988839823

60.5,111.820695302,22.3988839823

61,111.933116749,22.3988839823

61.5,112.164985984,22.3988839823

62,112.280920602,22.3988839823

62.5,112.453065943,22.3988839823

63,112.681422008,22.3988839823

63.5,112.797356626,22.3988839823

64,113.025712691,22.3988839823

64.5,113.197858032,22.3988839823

65,113.373516544,22.3988839823

65.5,113.485937991,22.3988839823

66,113.717807227,22.4236515417

66.5,113.889952568,22.3988839823

67,114.118308633,22.3988839823

67.5,114.234243251,22.3988839823

68,114.406388592,22.3988839823

68.5,114.634744657,22.3988839823

69,114.750679275,22.3988839823

69.5,114.98254851,22.3988839823

70,115.154693851,22.3988839823

70.5,115.326839193,22.3755715552

71,115.498984534,22.3988839823

71.5,115.671129875,22.3988839823

72,115.89948594,22.3755715552

72.5,116.075144452,22.3988839823

73,116.303500517,22.3988839823

73.5,116.475645858,22.3988839823

74,116.704001923,22.3988839823

74.5,116.935871159,22.3988839823

75,117.1080165,22.3988839823

75.5,117.280161841,22.3988839823

76,117.452307183,22.3988839823

76.5,117.624452524,22.3988839823

77,117.856321759,22.3988839823

77.5,118.028467101,22.3988839823

78,118.256823166,22.3988839823

78.5,118.372757784,22.3988839823

79,118.601113849,22.3988839823

79.5,118.832983084,22.3988839823

80,119.005128425,22.3988839823

80.5,119.177273767,22.3988839823

