time,Pressure,Temperature
0.5,99.4437965757,39.9045209831

1,99.4437965757,39.9297853968

1.5,99.4437965757,39.9297853968

2,99.4437965757,39.9297853968

2.5,99.4437965757,39.9297853968

3,99.4437965757,39.9819168759

3.5,99.4437965757,40.0087849424

4,99.4437965757,39.9819168759

4.5,99.4437965757,39.9819168759

5,99.4437965757,39.9566370272

5.5,99.4437965757,39.9297853968

6,99.4437965757,39.8524366692

6.5,99.4437965757,39.8271950483

7,99.4437965757,39.7231515117

7.5,101.393606054,39.6459879592

8,102.08218742,39.4902943953

8.5,102.198122037,39.4902943953

9,102.886703403,39.6192329415

9.5,103.343415533,39.7231515117

10,103.919575451,39.8003839448

10.5,104.548432922,39.9297853968

11,105.352948905,39.9297853968

11.5,106.153951718,40.0087849424

12,107.24654766,40.1115942947

12.5,108.391841156,40.1638376932

13,109.769003886,40.1115942947

13.5,111.202377341,40.1891794924

14,112.695474689,40.2414711035

14.5,114.244782761,40.1891794924

15,115.678156216,40.1891794924

15.5,116.995595053,40.2161135268

16,118.31654706,40.1115942947

16.5,119.633985897,40.1891794924

17,120.839003286,40.1115942947

17.5,121.987809952,40.1385035188

18,122.964471276,40.1385035188

18.5,123.993830154,40.1385035188

19,124.914280755,40.1385035188

19.5,125.887428909,40.1638376932

20,126.80787951,40.1385035188

20.5,127.72481694,40.1638376932

21,128.64175437,40.1385035188

21.5,129.618415695,40.0593831887

22,130.707498467,40.0593831887

22.5,131.852791962,39.9819168759

23,132.945387904,39.9297853968

23.5,134.206616017,39.9045209831

24,135.696200196,39.8524366692

24.5,137.13308682,39.8271950483

25,138.506736381,39.7483626694

25.5,139.599332323,39.7231515117

26,140.744625818,39.6979476982

26.5,141.893432484,39.6711766756

27,142.982515256,39.6459879592

27.5,144.187532645,39.6192329415

28,145.332826141,39.5940592549

28.5,146.425422083,39.5940592549

29,147.398570237,39.5940592549

29.5,148.431442285,39.5688928312

30,149.520525057,39.5688928312

30.5,150.669331723,39.5421614464

31,151.702203771,39.5170099527

31.5,152.847497266,39.5421614464

32,153.940093208,39.5170099527

32.5,154.972965256,39.5170099527

33,156.005837304,39.5421614464

33.5,157.035196182,39.5170099527

34,158.127792124,39.4902943953

34.5,159.100940278,39.4651577645

35,160.19002305,39.4902943953

35.5,161.110473651,39.4651577645

36,162.083621805,39.4133361288

36.5,163.176217747,39.4384579635

37,164.205576625,39.388221444

37.5,165.238448673,39.4133361288

38,166.215109997,39.388221444

38.5,167.304192769,39.3615449081

39,168.2211302,39.388221444

39.5,169.081856906,39.388221444

40,169.942583613,39.4133361288

40.5,170.80331032,39.3615449081

41,171.548102409,39.309783965

41.5,172.46855301,39.3615449081

42,173.38549044,39.309783965

42.5,174.302427871,39.309783965

43,175.219365301,39.309783965

43.5,176.139815902,39.3615449081

44,177.112964056,39.388221444

44.5,177.973690763,39.3364449205

45,178.890628193,39.388221444

45.5,179.695144176,39.3615449081

46,180.499660159,39.3615449081

46.5,181.360386866,39.4133361288

47,182.277324296,39.4133361288

47.5,183.022116385,39.388221444

48,183.766908474,39.388221444

48.5,184.515213734,39.4133361288

49,185.316216547,39.4133361288

49.5,186.061008636,39.4133361288

50,186.809313895,39.4133361288

50.5,187.554105984,39.388221444

51,188.24268735,39.4133361288

51.5,188.987479439,39.4384579635

52,189.791995422,39.4384579635

52.5,190.364642169,39.4384579635

53,190.765143576,39.4384579635

53.5,191.2815796,39.4384579635

54,191.798015624,39.4384579635

54.5,192.374175542,39.4384579635

55,192.94682229,39.4133361288

55.5,193.40353442,39.4384579635

56,193.86375972,39.4651577645

56.5,99.7318765346,39.4384579635

57,99.4437965757,39.4133361288

57.5,99.4437965757,39.4133361288

58,99.4437965757,39.4384579635

58.5,99.4437965757,39.4384579635

59,99.4437965757,39.4384579635

59.5,99.4437965757,39.4902943953
